column,dtype,null_ratio,unique_count,unique_ratio,dominant_ratio,variance,drop_null,drop_constant,low_variance,almost_constant,candidate_to_drop,drop_reasons
"Крупный скот, уничтожено",int64,0.0,2,0.0046,0.9977,0.0022988505747126436,False,False,False,True,True,['Почти всегда одно и то же значение']
"Птиц, уничтожено",int64,0.0,2,0.0046,0.9977,0.9195402298850586,False,False,False,True,True,['Почти всегда одно и то же значение']
Зарегистрированный ущерб от пожар,int64,0.0,3,0.0069,0.9954,44531999282.04113,False,False,False,True,True,['Почти всегда одно и то же значение']
"Корма, уничтожено",int64,0.0,2,0.0046,0.9954,0.11467768419937495,False,False,False,True,True,['Почти всегда одно и то же значение']
"Мелкий скот, уничтожено",int64,0.0,3,0.0069,0.9954,0.16974416017797556,False,False,False,True,True,['Почти всегда одно и то же значение']
Спасено на пожаре,int64,0.0,3,0.0069,0.9954,0.011473065310662642,False,False,False,True,True,['Почти всегда одно и то же значение']
Категория бизнеса,str,0.0,5,0.0115,0.9885,1.0,False,False,False,True,True,['Почти всегда одно и то же значение']
"Жилые квартиры, уничтожено",int64,0.0,4,0.0092,0.9839,0.549944382647386,False,False,False,True,True,['Почти всегда одно и то же значение']
Количество погибших в КУП,int64,0.0,3,0.0069,0.9839,0.029524868901954552,False,False,False,True,True,['Почти всегда одно и то же значение']
Вид пожарной охраны населенного п,str,0.0,4,0.0092,0.9816,1.0,False,False,False,True,True,['Почти всегда одно и то же значение']
Количество объектов в КУП,int64,0.0,4,0.0092,0.9816,0.06131680703427087,False,False,False,True,True,['Почти всегда одно и то же значение']
Количество травмированных в КУП,int64,0.0,3,0.0069,0.9724,0.04719529636103608,False,False,False,True,True,['Почти всегда одно и то же значение']
Переход пожара на иные объекты,str,0.0,2,0.0046,0.9678,1.0,False,False,False,True,True,['Почти всегда одно и то же значение']
Пожар по заявлению,str,0.0,2,0.0046,0.9655,1.0,False,False,False,True,True,['Почти всегда одно и то же значение']
"Автотракторная и др.техника, уничт",int64,0.0,3,0.0069,0.9655,0.04011865035224324,False,False,False,True,True,['Почти всегда одно и то же значение']
"Автотракторная и др.техника, повре",int64,0.0,3,0.0069,0.9632,0.04897505164468456,False,False,False,True,True,['Почти всегда одно и то же значение']
"Жилые квартиры, повреждено",int64,0.0,3,0.0069,0.9609,0.04436675671380898,False,False,False,True,True,['Почти всегда одно и то же значение']
"Количество автомобилей, которые д",int64,0.0,2,0.0046,0.9563,0.04186662429154086,False,False,False,True,True,['Почти всегда одно и то же значение']
Есть травмированные или погибшие,str,0.0,2,0.0046,0.9563,1.0,False,False,False,True,True,['Почти всегда одно и то же значение']
Количество первичных огнетушащих ,int64,0.0,2,0.0046,0.9287,0.06633825944170772,False,False,False,True,True,['Почти всегда одно и то же значение']
"Количество пожарных стволов, пода",int64,0.0,3,0.0069,0.908,0.08674188251496372,False,False,False,True,True,['Почти всегда одно и то же значение']
Количество записей о водоснабжени,int64,0.0,3,0.0069,0.9034,0.08829916838815614,False,False,False,True,True,['Почти всегда одно и то же значение']
"Количество записей о технике, испо",int64,0.0,5,0.0115,0.892,0.15348270565178238,False,False,False,True,True,['Почти всегда одно и то же значение']
Фактическая группа капитальности,str,0.8345,7,0.0161,0.8345,1.0,False,False,False,False,False,[]
Возраст виновника,str,0.8184,40,0.092,0.8184,1.0,False,False,False,False,False,[]
"Список условий, способствовавших ",str,0.7563,12,0.0276,0.7563,1.0,False,False,False,False,False,[]
УСРП#1,str,0.7563,10,0.023,0.7563,1.0,False,False,False,False,False,[]
Гражданство виновника пожара,str,0.7241,2,0.0046,0.7241,1.0,False,False,False,False,False,[]
Категория виновника пожара,str,0.7241,12,0.0276,0.7241,1.0,False,False,False,False,False,[]
Отношение виновника пожара к объе,str,0.7241,6,0.0138,0.7241,1.0,False,False,False,False,False,[]
Состояние виновного лица,str,0.7241,4,0.0092,0.7241,1.0,False,False,False,False,False,[]
Вид территории,str,0.7103,4,0.0092,0.7103,1.0,False,False,False,False,False,[]
Причина пожара для открытой терри,str,0.6276,13,0.0299,0.6276,1.0,False,False,False,False,False,[]
Природный (ландшафтный) пожар,str,0.6276,3,0.0069,0.6276,1.0,False,False,False,False,False,[]
УТП#2,str,0.5931,7,0.0161,0.5931,1.0,False,False,False,False,False,[]
Вид отопления,str,0.5425,13,0.0299,0.5425,1.0,False,False,False,False,False,[]
Список рангов пожаров,str,0.4782,2,0.0046,0.4782,1.0,False,False,False,False,False,[]
Р#1,str,0.4782,2,0.0046,0.4782,1.0,False,False,False,False,False,[]
Комментарий к адресу,str,0.4713,223,0.5126,0.4713,1.0,False,False,False,False,False,[]
Объект электрифицирован,str,0.4253,3,0.0069,0.5195,1.0,False,False,False,False,False,[]
Объект газифицирован,str,0.423,3,0.0069,0.5747,1.0,False,False,False,False,False,[]
Реконструируемый объект,str,0.377,2,0.0046,0.623,1.0,False,False,False,False,False,[]
Наличие НОР,str,0.377,2,0.0046,0.623,1.0,False,False,False,False,False,[]
Наличие ИПР,str,0.377,2,0.0046,0.623,1.0,False,False,False,False,False,[]
Наличие СТУ,str,0.377,2,0.0046,0.623,1.0,False,False,False,False,False,[]
Наличие ДПБ,str,0.377,2,0.0046,0.623,1.0,False,False,False,False,False,[]
Наличие ЗПБ,str,0.377,2,0.0046,0.623,1.0,False,False,False,False,False,[]
"Количество людей, одновременно на",str,0.377,3,0.0069,0.6207,1.0,False,False,False,False,False,[]
Объект с массовым пребыванием люд,str,0.377,3,0.0069,0.6207,1.0,False,False,False,False,False,[]
Многофункциональность,str,0.377,3,0.0069,0.6207,1.0,False,False,False,False,False,[]
Поднадзорность,str,0.377,3,0.0069,0.6161,1.0,False,False,False,False,False,[]
Категория риска,str,0.377,5,0.0115,0.5793,1.0,False,False,False,False,False,[]
"Этаж, на котором произошел пожар",str,0.377,8,0.0184,0.5701,1.0,False,False,False,False,False,[]
Степень огнестойкости,str,0.377,7,0.0161,0.5126,1.0,False,False,False,False,False,[]
Этажность здания,float64,0.377,4,0.0092,0.4943,0.2847615142818095,False,False,False,False,False,[]
Классификация по ФПО,str,0.377,8,0.0184,0.4552,1.0,False,False,False,False,False,[]
Категория здания,str,0.377,16,0.0368,0.377,1.0,False,False,False,False,False,[]
Категория объекта,str,0.377,8,0.0184,0.377,1.0,False,False,False,False,False,[]
Место возникновения пожара в здан,str,0.377,20,0.046,0.377,1.0,False,False,False,False,False,[]
Общая площадь объекта,str,0.377,69,0.1586,0.377,1.0,False,False,False,False,False,[]
Объект с круглосуточным пребывани,str,0.3724,3,0.0069,0.6253,1.0,False,False,False,False,False,[]
Наличие систем ППЗ,str,0.3724,3,0.0069,0.6253,1.0,False,False,False,False,False,[]
Строящийся объект,str,0.3724,3,0.0069,0.623,1.0,False,False,False,False,False,[]
Причина пожара для зданий (сооруже,str,0.3724,29,0.0667,0.3724,1.0,False,False,False,False,False,[]
Сведения о водоснабжении на пожар,str,0.0943,9,0.0207,0.4828,1.0,False,False,False,False,False,[]
ИВ#1 Тип,str,0.0943,8,0.0184,0.4828,1.0,False,False,False,False,False,[]
C#1 Количество,float64,0.0828,6,0.0138,0.6138,0.5391745695898037,False,False,False,False,False,[]
"Сведения о стволах, поданных на ту",str,0.0828,13,0.0299,0.5885,1.0,False,False,False,False,False,[]
Т#1 Количество,float64,0.0759,7,0.0161,0.308,1.1567660450862893,False,False,False,False,False,[]
"Сведения о технике, используемой п",str,0.0759,24,0.0552,0.2966,1.0,False,False,False,False,False,[]
Время подачи первого ствола,str,0.0759,402,0.9241,0.0759,1.0,False,False,False,False,False,[]
Средства индивидуальной защиты ор,str,0.069,4,0.0092,0.8322,1.0,False,False,False,False,False,[]
Время локализации,str,0.0552,409,0.9402,0.0552,1.0,False,False,False,False,False,[]
Время ликвидации последствий пожа,str,0.0552,408,0.9379,0.0552,1.0,False,False,False,False,False,[]
